                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.0655,                 23.655,                 8.3029,                      0,                      0,                      0,                      0,                 7.7732,                 53.975,                 8.2059,             0.00032692,             0.00032692,             0.00032692
                      2,                 5.9351,                 16.525,                 7.3193,                      0,                      0,                      0,                      0,                  7.978,                 19.427,                 8.3998,             0.00065808,             0.00065808,             0.00065808
                      3,                 4.8521,                  10.18,                 5.6225,                      0,                      0,                      0,                      0,                 5.0818,                 9.8697,                 6.1689,             0.00098703,             0.00098703,             0.00098703
                      4,                 4.3369,                 7.6733,                 4.6324,                0.13604,                0.13045,                0.12573,                0.04315,                 4.1678,                 6.9674,                 4.2622,              0.0009901,              0.0009901,              0.0009901
                      5,                 3.7659,                 6.0711,                 4.0358,                0.16173,                0.43702,                0.18611,                0.06905,                 5.1657,                  5.067,                 4.1308,              0.0009868,              0.0009868,              0.0009868
                      6,                 3.4998,                   5.21,                 3.6167,                0.19042,                0.26164,                0.18832,                0.08807,                 4.0709,                 5.0984,                 3.4982,              0.0009835,              0.0009835,              0.0009835
                      7,                 3.2115,                 4.4148,                 3.3012,                0.32608,                0.42857,                 0.3444,                0.17501,                 3.7238,                 3.7268,                  3.294,              0.0009802,              0.0009802,              0.0009802
                      8,                 2.9752,                 3.8672,                 3.1399,                0.18592,                0.51927,                0.34927,                0.16675,                 3.5945,                 3.7559,                 3.3474,              0.0009769,              0.0009769,              0.0009769
                      9,                 2.8226,                 3.5046,                   2.92,                0.34893,                0.48602,                 0.3758,                0.20546,                 3.4305,                 3.3729,                 2.9807,              0.0009736,              0.0009736,              0.0009736
                     10,                 2.6151,                 3.2702,                 2.8019,                0.38396,                0.44281,                0.38932,                0.23184,                 2.8565,                 3.4301,                 2.6955,              0.0009703,              0.0009703,              0.0009703
                     11,                 2.5074,                 3.2024,                 2.7424,                0.36456,                0.49381,                0.44404,                0.30995,                 2.6421,                 2.9664,                 2.6736,               0.000967,               0.000967,               0.000967
                     12,                 2.3208,                 2.9515,                 2.5547,                0.57503,                0.39014,                0.52234,                0.34752,                 2.5945,                 3.0967,                 2.5257,              0.0009637,              0.0009637,              0.0009637
                     13,                  2.247,                 2.8309,                  2.544,                0.62144,                0.53503,                0.48183,                0.28541,                 2.6067,                 3.0297,                 2.4772,              0.0009604,              0.0009604,              0.0009604
                     14,                 2.1681,                 2.6473,                 2.4257,                0.48703,                0.44325,                0.53781,                0.35868,                  2.544,                 2.8551,                 2.3674,              0.0009571,              0.0009571,              0.0009571
                     15,                 2.0606,                 2.4756,                 2.3367,                0.65981,                0.49997,                0.54811,                0.30498,                 2.9457,                 2.9713,                 2.3427,              0.0009538,              0.0009538,              0.0009538
                     16,                 1.9837,                 2.3949,                 2.2992,                0.62197,                0.53268,                0.55716,                0.37234,                 2.4156,                 2.5929,                 2.2673,              0.0009505,              0.0009505,              0.0009505
