                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2475,                 21.935,                 8.3347,                      0,                      0,                      0,                      0,                 5.0456,                 17.446,                 5.9547,              0.0003301,              0.0003301,              0.0003301
                      2,                 5.8987,                 12.652,                 6.8286,                      0,                      0,                      0,                      0,                 7.0408,                 18.662,                 9.3208,             0.00066124,             0.00066124,             0.00066124
                      3,                 4.8545,                 7.5491,                 5.2191,                0.43242,                0.23605,                0.28695,                0.12124,                 4.6966,                 5.9573,                 3.9697,             0.00099019,             0.00099019,             0.00099019
                      4,                 4.3221,                  5.896,                 4.5827,                0.16664,                0.40718,                0.19388,                0.06281,                 4.5862,                 5.4202,                 3.7157,              0.0009901,              0.0009901,              0.0009901
                      5,                 4.1153,                 5.1884,                 4.3279,                0.11867,                 0.3996,                  0.214,                0.07352,                 4.6098,                 5.1151,                 4.1965,              0.0009868,              0.0009868,              0.0009868
                      6,                 3.8359,                 4.7263,                 3.8363,                0.14686,                0.51727,                0.22413,                0.10861,                 4.0061,                 4.6708,                 3.5116,              0.0009835,              0.0009835,              0.0009835
                      7,                 3.5342,                 4.2788,                 3.6086,                0.18433,                 0.4501,                0.31499,                0.12518,                 4.0945,                 4.6553,                 3.4613,              0.0009802,              0.0009802,              0.0009802
                      8,                  3.175,                 3.8135,                 3.3007,                0.50296,                0.50413,                0.37772,                0.20593,                 3.1933,                 4.1799,                  3.021,              0.0009769,              0.0009769,              0.0009769
                      9,                 3.0217,                 3.5356,                 3.0781,                0.32222,                0.45487,                 0.4333,                0.25658,                 3.1037,                 3.9855,                 2.7124,              0.0009736,              0.0009736,              0.0009736
                     10,                 2.7686,                  3.263,                 2.9516,                0.37053,                0.48734,                0.43234,                0.26913,                 3.3464,                 3.6672,                 2.5923,              0.0009703,              0.0009703,              0.0009703
                     11,                 2.6197,                 3.1349,                 2.7964,                0.39316,                0.53758,                0.44104,                0.27461,                 3.0044,                 3.1805,                 2.6077,               0.000967,               0.000967,               0.000967
