                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.4656,                 29.524,                 8.0093,                0.02857,                0.00161,                0.01616,                0.00485,                 7.0025,                 12.291,                 6.6551,             0.00030128,             0.00030128,             0.00030128
                      2,                 5.6021,                  10.09,                 5.3935,                0.13936,                0.31857,                0.13965,                0.04749,                  5.188,                 5.8408,                 4.2841,             0.00060228,             0.00060228,             0.00060228
                      3,                 4.7298,                 6.6509,                 4.4084,                0.14748,                0.36925,                0.16557,                0.06864,                 4.1262,                 4.2665,                 3.5638,             0.00090129,             0.00090129,             0.00090129
                      4,                 4.4153,                 5.5762,                 4.1023,                0.15377,                0.50403,                0.24051,                 0.1179,                 3.6718,                 3.7717,                 3.3807,                 0.0009,                 0.0009,                 0.0009
                      5,                 3.7203,                 4.5782,                 3.5164,                0.23825,                0.34627,                0.25874,                0.12494,                 3.7377,                 3.4657,                 3.3916,               0.000897,               0.000897,               0.000897
                      6,                 3.5091,                 4.1499,                  3.262,                0.40689,                0.30458,                0.27879,                 0.1604,                 3.3009,                 3.0472,                 3.0116,               0.000894,               0.000894,               0.000894
                      7,                 3.0585,                 3.7184,                 3.0504,                0.39372,                 0.3805,                0.31837,                0.19443,                 2.8465,                 3.0085,                 2.8626,               0.000891,               0.000891,               0.000891
                      8,                  3.107,                 3.5586,                 2.8897,                0.45994,                0.42177,                0.33595,                0.22468,                 2.8138,                 2.8784,                 2.7226,               0.000888,               0.000888,               0.000888
                      9,                 2.8186,                 3.2619,                 2.7312,                0.42918,                  0.473,                0.35673,                0.23084,                 2.8684,                 2.6917,                 2.8279,               0.000885,               0.000885,               0.000885
                     10,                 2.6186,                 3.1518,                 2.6904,                0.36865,                0.42117,                0.36639,                0.23638,                 2.7923,                 2.7111,                 2.6678,               0.000882,               0.000882,               0.000882
                     11,                 2.4466,                 2.9787,                 2.5443,                0.37508,                0.40822,                 0.3825,                0.25077,                 2.5918,                 2.7379,                 2.6284,               0.000879,               0.000879,               0.000879
                     12,                 2.3793,                 2.8521,                 2.4771,                0.32578,                0.49326,                0.37804,                0.24563,                 2.6554,                 2.5809,                  2.744,               0.000876,               0.000876,               0.000876
                     13,                 2.3571,                 2.8543,                 2.4455,                0.37987,                0.47977,                0.39091,                0.25397,                 2.6589,                 2.5665,                 2.7189,               0.000873,               0.000873,               0.000873
                     14,                 2.2245,                 2.7292,                 2.3755,                0.28375,                 0.4985,                 0.3729,                0.24114,                 2.6035,                 2.4219,                  2.443,                0.00087,                0.00087,                0.00087
                     15,                 2.1502,                 2.6197,                 2.3237,                 0.3486,                0.46003,                0.37025,                0.27512,                 2.1929,                 2.4745,                 2.3083,               0.000867,               0.000867,               0.000867
                     16,                 2.0772,                 2.5101,                 2.2412,                0.50256,                0.47336,                0.39597,                0.29606,                 2.1468,                 2.2639,                  2.283,               0.000864,               0.000864,               0.000864
                     17,                 1.9864,                 2.4215,                 2.1721,                0.39815,                0.46629,                 0.4233,                0.31996,                 2.1612,                 2.2213,                 2.2282,               0.000861,               0.000861,               0.000861
                     18,                 1.9389,                 2.4262,                 2.1538,                0.46201,                 0.5773,                0.44313,                0.33231,                 2.0886,                 2.1354,                   2.17,             0.00085801,             0.00085801,             0.00085801
                     19,                 1.8131,                 2.3486,                 2.1003,                 0.5592,                0.50519,                0.45178,                0.34096,                 2.0557,                 2.1008,                 2.0344,             0.00085501,             0.00085501,             0.00085501
                     20,                 1.7909,                 2.2566,                 2.0881,                0.41303,                 0.4988,                0.46435,                0.35029,                 2.0119,                 2.0705,                 2.0453,             0.00085201,             0.00085201,             0.00085201
                     21,                 1.8107,                 2.2504,                 2.0705,                0.65477,                0.52773,                 0.5658,                0.45756,                 1.8221,                 1.8446,                 1.8614,             0.00084901,             0.00084901,             0.00084901
                     22,                 1.7325,                 2.0983,                  1.999,                0.57087,                0.48313,                0.53935,                0.39508,                 2.2138,                 1.8961,                 1.9752,             0.00084601,             0.00084601,             0.00084601
                     23,                  1.714,                 2.0466,                 2.0415,                0.49513,                0.54166,                0.52492,                0.41489,                 1.8558,                 1.7362,                 1.8767,             0.00084301,             0.00084301,             0.00084301
                     24,                 1.6424,                 2.0227,                 2.0072,                0.45885,                0.53083,                0.51083,                0.40752,                 1.7398,                 1.7845,                 1.7577,             0.00084001,             0.00084001,             0.00084001
                     25,                 1.6971,                 2.0086,                 1.9733,                0.49671,                0.58346,                0.56383,                 0.4533,                 1.8226,                 1.6387,                  1.867,             0.00083701,             0.00083701,             0.00083701
                     26,                 1.7107,                 1.9982,                 2.0099,                0.65437,                0.57783,                0.58613,                0.43252,                 1.9547,                 2.0328,                 1.9183,             0.00083401,             0.00083401,             0.00083401
                     27,                 1.7178,                 1.9703,                 1.9787,                0.63515,                0.70046,                0.70913,                 0.5565,                 1.9258,                 1.7854,                 1.7912,             0.00083101,             0.00083101,             0.00083101
                     28,                  1.668,                 1.8484,                 1.9542,                0.62073,                0.67223,                0.63086,                0.50329,                 1.7653,                 1.5117,                 1.7435,             0.00082801,             0.00082801,             0.00082801
                     29,                 1.5618,                 1.8028,                 1.9251,                0.52151,                0.72307,                0.68148,                0.51187,                 1.8896,                 1.8668,                 1.7882,             0.00082501,             0.00082501,             0.00082501
                     30,                 1.5982,                 1.7733,                 1.9327,                0.75328,                0.56282,                0.72445,                0.57516,                 1.6903,                 1.3406,                 1.6816,             0.00082201,             0.00082201,             0.00082201
                     31,                 1.4962,                 1.6429,                 1.8876,                0.79923,                0.59458,                0.75013,                0.61155,                 1.5971,                 1.2146,                 1.6903,             0.00081901,             0.00081901,             0.00081901
                     32,                 1.4574,                 1.5962,                 1.8677,                0.77989,                0.59857,                0.71879,                0.58201,                 1.5905,                 1.2851,                 1.6577,             0.00081601,             0.00081601,             0.00081601
                     33,                 1.5064,                 1.6529,                 1.9008,                0.81393,                0.59104,                0.74391,                0.60194,                 1.5732,                 1.2965,                 1.6545,             0.00081301,             0.00081301,             0.00081301
                     34,                 1.4626,                 1.5431,                 1.8724,                0.83954,                0.60382,                0.72605,                0.59847,                 1.5678,                 1.1812,                 1.6421,             0.00081001,             0.00081001,             0.00081001
                     35,                 1.4175,                  1.475,                 1.8335,                0.84779,                0.56588,                 0.7315,                0.59354,                 1.5552,                 1.2557,                 1.6275,             0.00080701,             0.00080701,             0.00080701
                     36,                 1.4413,                 1.4926,                 1.8697,                0.83456,                0.62134,                0.76849,                0.62171,                   1.59,                 1.2341,                 1.6328,             0.00080401,             0.00080401,             0.00080401
                     37,                  1.487,                 1.4838,                  1.848,                0.79335,                0.69274,                0.81627,                0.67907,                 1.5762,                 1.1278,                 1.6568,             0.00080101,             0.00080101,             0.00080101
                     38,                 1.3512,                 1.3801,                 1.8403,                0.79133,                0.69042,                0.78989,                0.64977,                 1.5007,                 1.0996,                 1.6181,             0.00079801,             0.00079801,             0.00079801
                     39,                 1.3412,                 1.3576,                 1.8277,                0.74535,                0.69696,                 0.8024,                0.65183,                 1.5925,                  1.071,                   1.59,             0.00079501,             0.00079501,             0.00079501
                     40,                  1.388,                 1.3572,                  1.837,                0.71068,                0.74423,                0.78227,                0.61971,                 1.6424,                 1.1321,                 1.6176,             0.00079201,             0.00079201,             0.00079201
                     41,                 1.3811,                 1.4043,                 1.8373,                 0.7148,                0.68948,                0.78051,                0.65331,                 1.5222,                 1.2303,                 1.6355,             0.00078901,             0.00078901,             0.00078901
                     42,                 1.3952,                 1.3803,                 1.8243,                0.80508,                0.72812,                0.83419,                0.68778,                 1.5064,                 1.0364,                 1.6147,             0.00078601,             0.00078601,             0.00078601
                     43,                 1.4313,                 1.3841,                 1.8368,                0.75221,                 0.7657,                0.85407,                 0.7007,                 1.5272,                 1.0643,                 1.6279,             0.00078301,             0.00078301,             0.00078301
                     44,                 1.3304,                 1.3343,                 1.8183,                0.83536,                0.68751,                0.82504,                0.67908,                 1.6052,                 1.1163,                  1.643,             0.00078001,             0.00078001,             0.00078001
                     45,                 1.3287,                 1.3719,                 1.8012,                0.86119,                0.73642,                0.85711,                0.70615,                 1.4567,                 1.0242,                 1.6336,             0.00077701,             0.00077701,             0.00077701
                     46,                 1.3377,                 1.3492,                   1.81,                0.90859,                 0.7578,                0.85699,                0.70719,                 1.5125,                0.95708,                 1.5804,             0.00077401,             0.00077401,             0.00077401
                     47,                 1.2882,                 1.2651,                 1.8015,                0.93643,                0.70077,                0.85609,                 0.7028,                 1.5783,                0.98687,                 1.6104,             0.00077101,             0.00077101,             0.00077101
                     48,                 1.3203,                 1.2567,                 1.8121,                0.83308,                0.75702,                0.86501,                0.72158,                 1.4084,                0.92897,                 1.6036,             0.00076801,             0.00076801,             0.00076801
                     49,                 1.2794,                 1.2294,                 1.7985,                0.89543,                0.74136,                0.87008,                 0.7374,                 1.3584,                 0.9105,                 1.5825,             0.00076501,             0.00076501,             0.00076501
                     50,                 1.2812,                 1.2175,                 1.7998,                0.81205,                0.72172,                0.83353,                0.68051,                 1.5269,                 1.0541,                  1.597,             0.00076201,             0.00076201,             0.00076201
                     51,                 1.2844,                 1.1934,                 1.7892,                0.87006,                0.79768,                0.87532,                0.71144,                 1.5475,                0.99657,                 1.6238,             0.00075902,             0.00075902,             0.00075902
                     52,                 1.3106,                 1.1991,                 1.7997,                0.90306,                0.75299,                0.88595,                0.73327,                 1.4174,                0.89637,                 1.5789,             0.00075602,             0.00075602,             0.00075602
                     53,                 1.3338,                 1.2195,                 1.8196,                0.78913,                0.75456,                0.85757,                0.69908,                 1.4198,                 1.0348,                 1.6123,             0.00075302,             0.00075302,             0.00075302
                     54,                 1.3114,                 1.1833,                 1.7953,                0.84002,                0.82127,                 0.9056,                0.72985,                 1.5897,                0.98065,                 1.5749,             0.00075002,             0.00075002,             0.00075002
                     55,                 1.3265,                 1.1726,                  1.787,                0.91903,                 0.7614,                0.90791,                0.76793,                 1.3585,                0.82955,                  1.569,             0.00074702,             0.00074702,             0.00074702
                     56,                 1.2501,                 1.1374,                 1.7794,                0.81049,                0.77097,                0.85899,                 0.7203,                 1.3937,                0.89648,                 1.5661,             0.00074402,             0.00074402,             0.00074402
                     57,                 1.1891,                 1.1207,                  1.776,                0.92264,                0.69099,                0.86252,                0.72534,                 1.4537,                0.96009,                 1.5837,             0.00074102,             0.00074102,             0.00074102
                     58,                 1.1815,                 1.0966,                 1.7818,                0.88809,                0.76759,                0.87611,                0.73002,                 1.3893,                 0.8389,                  1.587,             0.00073802,             0.00073802,             0.00073802
                     59,                   1.23,                 1.0964,                 1.7742,                 0.8247,                0.79971,                0.87346,                0.72592,                 1.4177,                0.95058,                 1.5427,             0.00073502,             0.00073502,             0.00073502
                     60,                 1.2294,                 1.1048,                 1.7612,                  0.843,                0.82452,                0.89469,                 0.7283,                 1.5016,                0.94833,                 1.5649,             0.00073202,             0.00073202,             0.00073202
                     61,                 1.2395,                 1.1377,                 1.7788,                0.91093,                0.73822,                0.86543,                0.74952,                 1.2874,                0.85986,                 1.5731,             0.00072902,             0.00072902,             0.00072902
                     62,                 1.2372,                 1.1563,                 1.7645,                0.87638,                0.78677,                0.86583,                0.73327,                 1.2877,                0.87718,                 1.5495,             0.00072602,             0.00072602,             0.00072602
                     63,                 1.1817,                 1.0989,                 1.7667,                0.86542,                0.78013,                 0.8738,                0.75419,                 1.2934,                0.81739,                  1.562,             0.00072302,             0.00072302,             0.00072302
                     64,                 1.2539,                 1.1027,                 1.7582,                0.84927,                0.78489,                0.88431,                0.73921,                 1.3839,                0.93274,                 1.5472,             0.00072002,             0.00072002,             0.00072002
                     65,                 1.1653,                 1.0614,                 1.7501,                0.87295,                0.78944,                 0.8861,                 0.7543,                 1.2808,                0.79361,                 1.5384,             0.00071702,             0.00071702,             0.00071702
                     66,                 1.1911,                 1.0954,                 1.7594,                0.92494,                0.77407,                0.89511,                0.78069,                 1.2579,                0.80212,                 1.5395,             0.00071402,             0.00071402,             0.00071402
