                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7575,                 23.146,                 8.4531,                      0,                      0,                      0,                      0,                 4.5034,                 24.405,                 8.1364,             0.00029088,             0.00029088,             0.00029088
                      2,                 6.1301,                 19.543,                 8.1808,                      0,                      0,                      0,                      0,                 4.4563,                 24.402,                 7.9986,              0.0005889,              0.0005889,              0.0005889
                      3,                 6.1741,                 15.975,                 7.1399,                      0,                      0,                      0,                      0,                 4.8822,                 24.741,                 7.4524,             0.00088494,             0.00088494,             0.00088494
                      4,                 5.8223,                   13.3,                 6.1684,                      0,                      0,                      0,                      0,                 5.5614,                 16.233,                 6.7725,                 0.0009,                 0.0009,                 0.0009
                      5,                 5.2262,                 11.465,                 5.5907,                 0.0449,                0.01125,                0.02422,                0.00893,                 5.0335,                 9.1626,                 4.4843,               0.000897,               0.000897,               0.000897
                      6,                 4.9049,                 10.231,                 5.0541,                0.44016,                0.04002,                 0.1071,                0.02366,                 5.4915,                 22.315,                 4.6162,               0.000894,               0.000894,               0.000894
                      7,                 4.7029,                 9.1207,                  4.829,                0.07787,                0.12773,                 0.0598,                0.02174,                 5.2439,                 8.3483,                 3.9441,               0.000891,               0.000891,               0.000891
                      8,                 4.5732,                   8.36,                 4.5943,                0.11467,                0.34746,                0.09962,                0.03315,                 4.8631,                 8.5077,                 3.8262,               0.000888,               0.000888,               0.000888
                      9,                 4.2338,                 7.8118,                 4.4316,                 0.1815,                0.35502,                0.17998,                0.06986,                 4.4201,                 6.4245,                 3.4068,               0.000885,               0.000885,               0.000885
                     10,                 4.0917,                 7.3559,                 4.2577,                0.16678,                0.37773,                0.16217,                0.06911,                 4.1914,                 5.9238,                 3.4292,               0.000882,               0.000882,               0.000882
                     11,                 4.1014,                 6.9861,                 3.9964,                0.14783,                0.36733,                0.16841,                0.10341,                 3.3596,                 5.0929,                 3.0503,               0.000879,               0.000879,               0.000879
                     12,                 3.8623,                 6.5713,                 3.8615,                0.14169,                0.40682,                  0.178,                0.11548,                 3.4123,                 5.0202,                 2.8866,               0.000876,               0.000876,               0.000876
                     13,                 3.6896,                 6.1347,                 3.6361,                0.17606,                0.33161,                0.16045,                0.09168,                 3.5988,                 5.2194,                 3.2006,               0.000873,               0.000873,               0.000873
                     14,                 3.5701,                 5.9769,                 3.5868,                 0.4047,                0.29354,                0.22456,                0.14018,                   3.31,                 4.5223,                 2.8213,                0.00087,                0.00087,                0.00087
                     15,                 3.5043,                 5.7051,                 3.4906,                0.25095,                0.34276,                0.23044,                 0.1535,                 3.3931,                 4.3544,                 2.9375,               0.000867,               0.000867,               0.000867
                     16,                 3.3115,                 5.4497,                 3.4202,                0.27251,                 0.3461,                0.23605,                0.14957,                 3.1229,                 4.1437,                  2.789,               0.000864,               0.000864,               0.000864
                     17,                  3.171,                 5.2071,                 3.2993,                0.17976,                0.45606,                 0.2452,                0.12856,                 3.4031,                  3.842,                 2.9622,               0.000861,               0.000861,               0.000861
                     18,                 3.0745,                 5.0177,                 3.1896,                0.40951,                0.33779,                0.24409,                0.15994,                 2.8766,                   3.63,                 2.6467,             0.00085801,             0.00085801,             0.00085801
                     19,                 3.1093,                 4.8274,                  3.098,                0.27728,                0.37444,                0.28476,                0.18677,                 3.0311,                 3.4063,                 2.5751,             0.00085501,             0.00085501,             0.00085501
                     20,                 2.9327,                 4.5841,                 3.0826,                0.41713,                0.37995,                0.28677,                0.19196,                  2.768,                 3.4068,                 2.6235,             0.00085201,             0.00085201,             0.00085201
                     21,                 2.8224,                 4.4139,                 2.9842,                0.36711,                0.44182,                0.28577,                0.19918,                 2.8131,                 3.2588,                  2.625,             0.00084901,             0.00084901,             0.00084901
                     22,                 2.7796,                 4.3133,                 2.9157,                0.24688,                0.43473,                0.28437,                0.19465,                 2.6839,                 3.0977,                 2.5282,             0.00084601,             0.00084601,             0.00084601
                     23,                 2.7348,                 4.0649,                 2.7979,                0.20804,                0.40082,                0.28274,                0.19566,                 2.7793,                 3.0866,                 2.6151,             0.00084301,             0.00084301,             0.00084301
                     24,                 2.7513,                 3.9903,                 2.7593,                0.33097,                0.42993,                0.32731,                0.20824,                 2.7479,                 3.0157,                  2.489,             0.00084001,             0.00084001,             0.00084001
                     25,                  2.544,                 3.7686,                 2.7422,                0.25358,                0.40345,                0.29291,                0.21236,                 2.5039,                 2.7922,                 2.4077,             0.00083701,             0.00083701,             0.00083701
                     26,                 2.5832,                 3.7575,                  2.662,                0.43531,                0.39895,                0.28846,                 0.1869,                 2.6522,                 3.0355,                 2.5121,             0.00083401,             0.00083401,             0.00083401
                     27,                 2.5576,                 3.6294,                  2.604,                0.31308,                0.39611,                0.31812,                0.22478,                 2.3641,                 2.8291,                 2.3635,             0.00083101,             0.00083101,             0.00083101
                     28,                 2.3557,                 3.5001,                 2.6289,                0.24065,                0.47107,                0.33104,                0.24114,                 2.2725,                 2.7092,                 2.2553,             0.00082801,             0.00082801,             0.00082801
                     29,                  2.436,                 3.5784,                 2.5783,                0.50939,                0.36847,                0.32193,                0.21289,                 2.6614,                 2.9568,                 2.2856,             0.00082501,             0.00082501,             0.00082501
                     30,                 2.3616,                 3.3887,                 2.5374,                0.34289,                0.43858,                0.34212,                0.23685,                  2.435,                  2.778,                 2.3316,             0.00082201,             0.00082201,             0.00082201
                     31,                 2.3731,                 3.3742,                 2.5602,                0.22874,                0.46201,                0.30141,                0.20153,                 2.4574,                 2.9579,                 2.3474,             0.00081901,             0.00081901,             0.00081901
                     32,                 2.2039,                 3.2292,                 2.5007,                0.31665,                0.37254,                0.33992,                0.22847,                 2.4622,                   2.59,                 2.2345,             0.00081601,             0.00081601,             0.00081601
                     33,                 2.2146,                 3.1715,                 2.4527,                0.32579,                0.47913,                0.39011,                0.26504,                 2.5145,                 2.4961,                 2.1444,             0.00081301,             0.00081301,             0.00081301
                     34,                 2.1748,                 3.0349,                 2.4043,                0.35113,                0.50767,                0.37572,                0.26151,                 2.3856,                 2.5853,                 2.1489,             0.00081001,             0.00081001,             0.00081001
                     35,                  2.168,                 3.0353,                 2.4041,                0.52413,                0.39349,                0.35825,                0.25364,                  2.247,                  2.628,                 2.1488,             0.00080701,             0.00080701,             0.00080701
                     36,                 2.1478,                 2.9728,                 2.3213,                0.38421,                0.43027,                0.37874,                 0.2657,                  2.323,                 2.4001,                 2.0848,             0.00080401,             0.00080401,             0.00080401
                     37,                 2.0935,                 3.0042,                 2.3537,                0.38053,                0.43257,                0.40958,                0.31751,                 2.0332,                 2.2452,                 1.9399,             0.00080101,             0.00080101,             0.00080101
                     38,                 2.0654,                 2.9216,                 2.3437,                0.42082,                0.44562,                0.39121,                0.29056,                 2.0964,                 2.4823,                 2.0274,             0.00079801,             0.00079801,             0.00079801
                     39,                 2.0046,                 2.7441,                 2.3484,                0.59016,                0.44882,                0.40664,                0.28071,                  2.292,                   2.31,                  1.985,             0.00079501,             0.00079501,             0.00079501
                     40,                 1.9395,                 2.7498,                 2.2798,                0.36237,                0.52938,                 0.4119,                0.32144,                 1.9255,                 2.1923,                 1.8761,             0.00079201,             0.00079201,             0.00079201
                     41,                 1.9397,                 2.6944,                 2.2181,                0.43095,                0.49134,                0.42875,                0.31862,                 2.0516,                 2.1335,                 1.9349,             0.00078901,             0.00078901,             0.00078901
                     42,                 1.9707,                 2.5678,                 2.2303,                 0.3372,                0.66275,                0.42136,                0.30518,                 2.2396,                 2.2194,                  1.917,             0.00078601,             0.00078601,             0.00078601
                     43,                 1.9084,                 2.6145,                 2.2248,                0.42592,                0.45812,                0.39829,                0.29324,                 2.0681,                 2.1892,                 1.8981,             0.00078301,             0.00078301,             0.00078301
                     44,                  1.917,                 2.5574,                 2.1818,                0.35477,                0.53502,                0.40689,                0.30392,                 2.0808,                  2.153,                 1.8712,             0.00078001,             0.00078001,             0.00078001
                     45,                 1.8612,                 2.4717,                 2.2137,                 0.5229,                0.44043,                0.41123,                0.30351,                 2.1707,                 2.3558,                 1.8234,             0.00077701,             0.00077701,             0.00077701
                     46,                 1.9251,                 2.6116,                 2.1864,                0.44683,                0.53633,                0.45555,                0.34629,                 2.0457,                 2.1649,                 1.8425,             0.00077401,             0.00077401,             0.00077401
                     47,                 1.8676,                 2.5649,                 2.1845,                0.41971,                0.60564,                 0.4246,                0.31152,                 2.2275,                  2.313,                 1.8503,             0.00077101,             0.00077101,             0.00077101
                     48,                 1.7993,                  2.334,                 2.1408,                0.40295,                 0.4912,                0.41355,                0.32069,                 1.8824,                 2.0044,                 1.7705,             0.00076801,             0.00076801,             0.00076801
                     49,                 1.7049,                 2.4325,                 2.1319,                0.42451,                0.48941,                0.42381,                0.33729,                 1.7578,                 2.1293,                 1.6858,             0.00076501,             0.00076501,             0.00076501
                     50,                 1.6881,                 2.3391,                 2.0856,                0.35599,                0.74158,                0.48134,                0.37374,                 1.9041,                 1.9415,                 1.7591,             0.00076201,             0.00076201,             0.00076201
                     51,                 1.8026,                 2.3585,                 2.1424,                0.38937,                0.46035,                0.42283,                0.31178,                 2.0793,                 2.1535,                 1.7658,             0.00075902,             0.00075902,             0.00075902
