                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.1493,                  29.99,                 8.4752,                      0,                      0,                      0,                      0,                 7.4318,                 36.558,                 8.0414,             0.00029088,             0.00029088,             0.00029088
                      2,                 6.4237,                 23.256,                 8.0188,                      0,                      0,                      0,                      0,                  7.217,                 36.399,                 7.9867,              0.0005889,              0.0005889,              0.0005889
                      3,                 6.0688,                 17.787,                 6.7225,                      0,                      0,                      0,                      0,                 6.5218,                 34.957,                 7.8861,             0.00088494,             0.00088494,             0.00088494
                      4,                 5.4835,                 14.452,                 5.7536,                      0,                      0,                      0,                      0,                 6.6888,                 21.217,                 6.7155,                 0.0009,                 0.0009,                 0.0009
                      5,                 4.8295,                 12.367,                 5.1814,                0.04769,                0.04051,                0.02962,                 0.0127,                 4.2739,                 8.7498,                 4.1786,               0.000897,               0.000897,               0.000897
                      6,                 4.6558,                 11.098,                 4.6833,                0.20202,                0.12666,                0.12597,                0.05184,                 4.2477,                 7.2233,                 3.8219,               0.000894,               0.000894,               0.000894
                      7,                 4.4793,                 9.8681,                 4.5293,                0.13245,                0.31863,                0.12113,                0.05293,                 3.9191,                 7.0871,                  3.514,               0.000891,               0.000891,               0.000891
                      8,                 4.2641,                 9.0547,                 4.2446,                0.12901,                0.28961,                0.14823,                0.05428,                 4.0987,                 6.7917,                 3.4666,               0.000888,               0.000888,               0.000888
                      9,                 3.9561,                 8.3489,                 4.1638,                0.12176,                0.38656,                0.15271,                0.07506,                 3.8282,                 6.2951,                 3.3512,               0.000885,               0.000885,               0.000885
                     10,                 3.9381,                 7.8765,                 3.9616,                0.14972,                0.33471,                0.15288,                0.07034,                 3.7985,                   5.98,                 3.3562,               0.000882,               0.000882,               0.000882
                     11,                 3.8572,                 7.4069,                 3.7656,                0.17034,                0.37607,                0.19249,                0.08344,                 3.8508,                 5.8615,                  3.318,               0.000879,               0.000879,               0.000879
                     12,                 3.5371,                 6.9627,                 3.5928,                0.16653,                0.45476,                0.18636,                0.10998,                  3.224,                 5.4271,                  2.974,               0.000876,               0.000876,               0.000876
                     13,                 3.3041,                 6.4841,                 3.4197,                0.15958,                0.39317,                0.20321,                0.13028,                 2.9531,                 4.6572,                 2.8623,               0.000873,               0.000873,               0.000873
                     14,                  3.164,                 6.1794,                 3.3296,                0.31184,                0.28566,                0.22368,                0.13057,                 2.8213,                 4.9763,                 3.0193,                0.00087,                0.00087,                0.00087
                     15,                 3.0778,                 5.8395,                 3.2818,                0.20052,                 0.3607,                0.20544,                0.13588,                 2.6601,                 4.2214,                 2.8967,               0.000867,               0.000867,               0.000867
                     16,                 3.0086,                 5.5683,                 3.2679,                0.14563,                0.48403,                 0.2209,                0.13709,                  2.915,                 4.1939,                  2.927,               0.000864,               0.000864,               0.000864
                     17,                  2.967,                 5.2647,                 3.1948,                 0.1909,                0.54152,                0.26191,                0.16247,                 2.8604,                 3.5637,                 2.8352,               0.000861,               0.000861,               0.000861
                     18,                  2.893,                 5.1302,                 3.1083,                0.37251,                0.41704,                0.27313,                0.17771,                 2.9325,                 3.4727,                 2.8871,             0.00085801,             0.00085801,             0.00085801
                     19,                 2.8638,                 4.9426,                 2.9768,                0.16995,                0.56351,                0.20142,                0.13496,                 2.7004,                 3.6347,                 2.8457,             0.00085501,             0.00085501,             0.00085501
                     20,                   2.66,                 4.6601,                 3.0105,                0.26034,                0.43817,                0.31503,                0.19838,                 2.7153,                 3.2912,                 2.8063,             0.00085201,             0.00085201,             0.00085201
